LANGENNMN;GEOIDNMN;AR;BEF_TOT;BEF_GENTOT;G_NAME;GET_END_YE;geometry
KRISTIANSTADS LÄN;GREVIE;1749;879;879;GREVIE;9999.0;POLYGON ((4171626.8890392818 3278417.1295767776, 4171689.461818791 3278247.043049927, 4171726.37289649 3278152.726342112, 4171894.6947751357 3278117.819885962, 4171983.90143739 3277979.1112802993, 4172082.1701206947 3277967.6777073084, 4172254.864586451 3277641.126317906, 4172367.358594113 3277455.6549468585, 4172410.5903332033 3277283.989095624, 4172515.180174944 3277195.2050976506, 4172588.392882096 3277133.0562248398, 4172761.0813265992 3276806.506797862, 4172822.8580783806 3276646.0912143462, 4172896.6735474635 3276457.460342159, 4172912.477078077 3276264.0888823, 4172924.329562623 3276119.060688337, 4172887.839365649 3275970.0820606425, 4172537.449069445 3275493.7258246546, 4172449.0851405933 3275145.8501316262, 4172410.225698286 3275025.879084926, 4172820.662910999 3274767.435390609, 4172842.7857082076 3274496.7232888527, 4171777.193051371 3273601.8172529703, 4171651.508236516 3273591.5442987937, 4171569.607280708 3273760.0378611423, 4170316.6535462914 3274085.846831532, 4169632.41292726 3273883.9082390675, 4169526.674658801 3273748.7373757334, 4169431.5761573794 3273721.495481106, 4169342.3731755894 3273860.1902083852, 4169015.8542683395 3273687.4981825016, 4169094.2385822423 3273324.070782316, 4167682.0240219864 3272741.4061718173, 4167441.6537400475 3273062.3780026147, 4166213.3298241184 3272611.514419379, 4165797.6229260936 3272577.497316354, 4164619.696283893 3271867.961792543, 4164566.955232652 3272155.610969453, 4164024.228025819 3272841.104988947, 4162529.77118661 3273263.7527997317, 4161773.532410221 3273941.479817992, 4162616.074781909 3274467.9133326765, 4162977.4944132436 3275402.6479471773, 4164348.8153091953 3276128.1030165837, 4165006.9291460756 3276649.1629730556, 4165244.6772862133 3276717.290456255, 4165273.63600535 3277790.303068905, 4165314.0631739898 3277890.944677068, 4165524.5651886356 3278054.175299573, 4165588.2871563244 3278108.057865128, 4165653.763226624 3278259.416841772, 4165790.8764754687 3278367.9736805856, 4165954.450100079 3278391.096432022, 4166103.43518646 3278354.6247053184, 4166283.7998633715 3278291.521014877, 4166481.127391071 3278259.005012752, 4166697.791954325 3278228.070875306, 4166921.7512986693 3278226.9328266755, 4167087.6994012063 3278221.0466324966, 4167974.573356124 3277612.285549544, 4168039.7895799507 3277053.095934592, 4168605.6601050277 3277274.58603337, 4169331.3354892293 3277684.342001061, 4169366.2345150854 3277852.662639933, 4169455.0126909628 3277957.2573113493, 4169686.448986592 3278102.7201539758, 4169883.3450370654 3278313.491528293, 4170161.546391059 3278482.24535544, 4170227.6463840003 3278507.118003702, 4170403.2659467915 3278502.013166078, 4170596.64187489 3278517.826724601, 4170737.7207804485 3278578.030581076, 4170799.077458482 3278660.9157017865, 4170949.398051876 3278965.2131055463, 4171173.97271489 3278837.5730834464, 4171330.864415245 3278704.398418462, 4171514.3904506415 3278602.601615968, 4171626.8890392818 3278417.1295767776))
KRISTIANSTADS LÄN;GRYT;1749;443;443;;;
KRISTIANSTADS LÄN;GRÅMANSTORP;1749;676;676;;;
MALMÖHUS LÄN;GRÖNBY;1749;406;406;GRÖNBY;9999.0;POLYGON ((4205186.159469706 3176778.3841765337, 4205133.0683321385 3177434.9534362955, 4205422.604133735 3178060.922460983, 4205866.554328649 3178339.787621603, 4207226.064218785 3177992.9168430446, 4207326.724199386 3177709.4922630005, 4207309.464728508 3177562.3169121025, 4207412.464773871 3177249.9270738987, 4207451.287083661 3177010.0997223733, 4207453.047888463 3176747.840416685, 4207627.5354159055 3176392.6391142793, 4207805.14230842 3175998.817164252, 4207824.650968145 3175757.432673958, 4207815.193319658 3175513.70797768, 4207912.432512029 3175152.268444096, 4208073.063643463 3174727.925311458, 4208206.287269369 3174281.9328471785, 4208281.870611154 3173947.9031915073, 4208293.573602511 3173803.076182898, 4208388.56448383 3173830.1883382946, 4208439.081605262 3173445.5443730946, 4208333.263809418 3172951.089579333, 4207771.225551082 3173051.4436607407, 4207900.544401682 3172653.7366754143, 4206299.4793417975 3172864.4690252473, 4205778.6061547175 3172696.0306385015, 4205724.290333423 3172526.434662944, 4205618.289663471 3172274.9176865774, 4205489.0775705995 3172070.114501804, 4205126.387488493 3172108.818763875, 4205207.863622609 3173505.0750960866, 4205288.59662775 3173948.9165755184, 4205311.892454359 3174261.7808004357, 4205363.372845489 3174586.6433934937, 4205407.622228923 3175241.344615913, 4205347.636544185 3175382.2693981878, 4205381.860856601 3175559.966657499, 4205213.6119581545 3175837.914023716, 4205186.159469706 3176778.3841765337))
MALMÖHUS LÄN;GUDMUNDTORP;1840;1474;1474;GUDMUNTORPS;9999.0;POLYGON ((4212583.742274913 3219218.5357826645, 4212844.60567568 3219239.634936817, 4213168.908910196 3219197.790036694, 4213563.187411808 3219132.4278885536, 4213830.301806819 3219076.2300081854, 4213957.465565712 3219067.063283322, 4213793.921674035 3218684.2969508003, 4214010.382571744 3218653.176687568, 4214025.097013789 3219072.532091706, 4214052.311362995 3219337.30317317, 4214785.283295312 3220495.4885905143, 4215001.622016882 3218781.9451946327, 4214522.446785579 3218694.5804280764, 4214590.283635057 3218456.946500379, 4213970.094948965 3218309.5537139447, 4213916.239808842 3218013.458761153, 4213719.104044606 3218046.1413199734, 4213732.463317531 3218241.7149551664, 4213776.864562383 3218293.928817918, 4213595.144528423 3218376.4810873303, 4213494.832327831 3218173.8754997123, 4213466.057285684 3217928.43230291, 4212932.967343489 3217185.1523921783, 4212763.181726794 3216879.686642702, 4213432.5713394135 3216418.424231472, 4213527.047961787 3216212.1272047763, 4213413.170743366 3216057.053510507, 4213517.802240429 3215725.162687435, 4213595.79263517 3215361.9464023593, 4213715.631420924 3215323.01487329, 4213905.153371257 3215143.853726164, 4214053.974854517 3215107.264932979, 4214200.45302578 3215099.6590026817, 4214307.217437798 3214981.8757488504, 4214268.284803056 3214862.037899956, 4214052.329695918 3214766.785187072, 4213835.881921566 3214797.906195996, 4213774.216169037 3214598.4373428295, 4214005.791777724 3214500.470709251, 4213653.064819142 3213450.9281611415, 4213960.853203722 3213252.1613498414, 4213949.053465974 3213037.281083772, 4214805.248768235 3213271.801703479, 4214341.645358388 3212631.444132369, 4214504.51750681 3212420.961808276, 4214280.181090569 3212188.903613331, 4214038.867909253 3211926.3020052477, 4213855.808730036 3211785.094719932, 4213671.969360492 3211653.5479369946, 4213100.02268572 3212112.9397683274, 4213008.884584404 3212037.5044921394, 4212510.023454192 3212434.7358413753, 4212225.883616472 3212100.597886272, 4211783.345972691 3212162.0464909687, 4211788.465068651 3212940.3643876095, 4211839.112353654 3212915.2890242175, 4211807.859090353 3213301.716629838, 4210731.116578198 3213389.652982361, 4210692.2574900165 3213629.6075289743, 4210769.326982806 3213878.9411359034, 4210597.061681063 3214205.345359383, 4210565.799178407 3214591.7783559277, 4210255.089009337 3214586.089008741, 4210210.4739753865 3214776.9611630547, 4210046.239395318 3214763.6732325354, 4210034.514519808 3214908.586218466, 4209715.705964633 3214882.790627139, 4209771.105143657 3215159.5489418874, 4209983.6450459985 3215176.7462418624, 4210014.752658589 3215393.1950867386, 4209747.653601004 3215449.376591646, 4209660.985222262 3215559.0540962312, 4209626.028307678 3215750.709946234, 4209683.492425431 3215881.775110672, 4209816.681434141 3216038.416543577, 4209789.541927181 3216133.463417646, 4209575.213110789 3216378.6765577453, 4208607.493145258 3215960.0103399116, 4208260.580505568 3216641.8056075172, 4208413.366252841 3216916.7303717835, 4208759.098194544 3217090.5795809473, 4209049.157495756 3216870.944868731, 4209280.297217711 3217259.179285204, 4209285.824626163 3217551.3610699703, 4209228.135842959 3217663.3864467447, 4209036.475015135 3217628.4258764083, 4208989.384139453 3218811.015712847, 4208929.7747808155 3220148.2117810464, 4209226.534670592 3221047.4785577822, 4209188.165015916 3221161.0733243087, 4209112.712271485 3221252.2165022977, 4208984.763270746 3221271.0349071934, 4208205.611116198 3221645.589545846, 4208034.638266405 3222195.805773537, 4208460.035634355 3222346.9483526517, 4208845.176948414 3222154.447290467, 4209192.727898697 3222065.8784471755, 4209487.226077144 3221671.533928217, 4209637.853718397 3221372.521867114, 4209820.089280027 3221163.5942573138, 4209926.09021662 3221055.4724423066, 4210073.36239942 3221038.215934379, 4210589.345747681 3221031.3461701926, 4210823.07249109 3221147.5096020973, 4211246.128283775 3221327.6170238177, 4211377.705103883 3221143.7609476866, 4211472.197295951 3220937.4545699595, 4211661.525145303 3221001.3973992756, 4211704.3625773825 3221072.938582725, 4212050.3433185145 3221003.677762028, 4212312.776312695 3221005.457246625, 4212367.3381372625 3220932.0703383926, 4212357.39328306 3220814.5651874123, 4212294.167012692 3220634.4000454773, 4212118.126191643 3220406.209431802, 4212013.909128121 3220251.9042154197, 4211981.232395962 3220054.761955357, 4211952.463677156 3219809.3119779644, 4211798.09392721 3219553.702314135, 4211798.310513133 3219310.5990767307, 4211813.942142177 3219117.367660489, 4212583.742274913 3219218.5357826645))
MALMÖHUS LÄN;GUDMUNTORP;1795;711;711;GUDMUNTORPS;9999.0;POLYGON ((4212583.742274913 3219218.5357826645, 4212844.60567568 3219239.634936817, 4213168.908910196 3219197.790036694, 4213563.187411808 3219132.4278885536, 4213830.301806819 3219076.2300081854, 4213957.465565712 3219067.063283322, 4213793.921674035 3218684.2969508003, 4214010.382571744 3218653.176687568, 4214025.097013789 3219072.532091706, 4214052.311362995 3219337.30317317, 4214785.283295312 3220495.4885905143, 4215001.622016882 3218781.9451946327, 4214522.446785579 3218694.5804280764, 4214590.283635057 3218456.946500379, 4213970.094948965 3218309.5537139447, 4213916.239808842 3218013.458761153, 4213719.104044606 3218046.1413199734, 4213732.463317531 3218241.7149551664, 4213776.864562383 3218293.928817918, 4213595.144528423 3218376.4810873303, 4213494.832327831 3218173.8754997123, 4213466.057285684 3217928.43230291, 4212932.967343489 3217185.1523921783, 4212763.181726794 3216879.686642702, 4213432.5713394135 3216418.424231472, 4213527.047961787 3216212.1272047763, 4213413.170743366 3216057.053510507, 4213517.802240429 3215725.162687435, 4213595.79263517 3215361.9464023593, 4213715.631420924 3215323.01487329, 4213905.153371257 3215143.853726164, 4214053.974854517 3215107.264932979, 4214200.45302578 3215099.6590026817, 4214307.217437798 3214981.8757488504, 4214268.284803056 3214862.037899956, 4214052.329695918 3214766.785187072, 4213835.881921566 3214797.906195996, 4213774.216169037 3214598.4373428295, 4214005.791777724 3214500.470709251, 4213653.064819142 3213450.9281611415, 4213960.853203722 3213252.1613498414, 4213949.053465974 3213037.281083772, 4214805.248768235 3213271.801703479, 4214341.645358388 3212631.444132369, 4214504.51750681 3212420.961808276, 4214280.181090569 3212188.903613331, 4214038.867909253 3211926.3020052477, 4213855.808730036 3211785.094719932, 4213671.969360492 3211653.5479369946, 4213100.02268572 3212112.9397683274, 4213008.884584404 3212037.5044921394, 4212510.023454192 3212434.7358413753, 4212225.883616472 3212100.597886272, 4211783.345972691 3212162.0464909687, 4211788.465068651 3212940.3643876095, 4211839.112353654 3212915.2890242175, 4211807.859090353 3213301.716629838, 4210731.116578198 3213389.652982361, 4210692.2574900165 3213629.6075289743, 4210769.326982806 3213878.9411359034, 4210597.061681063 3214205.345359383, 4210565.799178407 3214591.7783559277, 4210255.089009337 3214586.089008741, 4210210.4739753865 3214776.9611630547, 4210046.239395318 3214763.6732325354, 4210034.514519808 3214908.586218466, 4209715.705964633 3214882.790627139, 4209771.105143657 3215159.5489418874, 4209983.6450459985 3215176.7462418624, 4210014.752658589 3215393.1950867386, 4209747.653601004 3215449.376591646, 4209660.985222262 3215559.0540962312, 4209626.028307678 3215750.709946234, 4209683.492425431 3215881.775110672, 4209816.681434141 3216038.416543577, 4209789.541927181 3216133.463417646, 4209575.213110789 3216378.6765577453, 4208607.493145258 3215960.0103399116, 4208260.580505568 3216641.8056075172, 4208413.366252841 3216916.7303717835, 4208759.098194544 3217090.5795809473, 4209049.157495756 3216870.944868731, 4209280.297217711 3217259.179285204, 4209285.824626163 3217551.3610699703, 4209228.135842959 3217663.3864467447, 4209036.475015135 3217628.4258764083, 4208989.384139453 3218811.015712847, 4208929.7747808155 3220148.2117810464, 4209226.534670592 3221047.4785577822, 4209188.165015916 3221161.0733243087, 4209112.712271485 3221252.2165022977, 4208984.763270746 3221271.0349071934, 4208205.611116198 3221645.589545846, 4208034.638266405 3222195.805773537, 4208460.035634355 3222346.9483526517, 4208845.176948414 3222154.447290467, 4209192.727898697 3222065.8784471755, 4209487.226077144 3221671.533928217, 4209637.853718397 3221372.521867114, 4209820.089280027 3221163.5942573138, 4209926.09021662 3221055.4724423066, 4210073.36239942 3221038.215934379, 4210589.345747681 3221031.3461701926, 4210823.07249109 3221147.5096020973, 4211246.128283775 3221327.6170238177, 4211377.705103883 3221143.7609476866, 4211472.197295951 3220937.4545699595, 4211661.525145303 3221001.3973992756, 4211704.3625773825 3221072.938582725, 4212050.3433185145 3221003.677762028, 4212312.776312695 3221005.457246625, 4212367.3381372625 3220932.0703383926, 4212357.39328306 3220814.5651874123, 4212294.167012692 3220634.4000454773, 4212118.126191643 3220406.209431802, 4212013.909128121 3220251.9042154197, 4211981.232395962 3220054.761955357, 4211952.463677156 3219809.3119779644, 4211798.09392721 3219553.702314135, 4211798.310513133 3219310.5990767307, 4211813.942142177 3219117.367660489, 4212583.742274913 3219218.5357826645))
MALMÖHUS LÄN;GULLARP;1749;274;274;;;
KRISTIANSTADS LÄN;GUMLÖSA;1749;456;456;GUMLÖSA;9999.0;POLYGON ((4237984.512642613 3256192.121881355, 4237924.626074164 3256089.988127094, 4237928.521065097 3256041.6477997685, 4237980.756311526 3255997.2024652637, 4238048.4327027155 3256002.655341368, 4238075.878930512 3256024.32839086, 4238117.987500533 3256105.567815737, 4238133.42881356 3256155.4661641726, 4238230.109674548 3256163.2557788775, 4238358.1316615315 3256144.3777752793, 4238408.029965902 3256128.936239848, 4238389.151752358 3256000.9144177265, 4238423.608386183 3255935.5747179324, 4238475.843228241 3255891.1289836233, 4238538.067328125 3255964.2577469302, 4238580.176516748 3256045.496847601, 4238599.834033954 3256163.8506520325, 4238603.592275062 3256358.7708054315, 4238599.69775789 3256407.111488672, 4238570.235648656 3256531.23961504, 4238531.884139267 3256644.9208647455, 4238479.648623624 3256689.3671163176, 4238597.545824647 3256796.1750449776, 4238610.650893404 3256875.0785377584, 4238659.176777386 3257239.0348765757, 4238711.276354551 3257437.8530879067, 4238774.602363455 3257618.114186351, 4239004.627572833 3257782.61197776, 4239141.864447847 3257890.9789116895, 4239450.796766912 3258042.3701063516, 4240105.721501084 3257764.2640958335, 4240703.084309413 3257355.0126410066, 4240794.445794674 3257187.211236239, 4240859.916111598 3256978.4011650765, 4240762.385055361 3256376.959191787, 4241115.690362229 3255977.250899754, 4241894.469344077 3256215.110516059, 4242087.833689515 3256230.6779364343, 4242128.635765045 3255844.7285101167, 4242237.56368033 3255337.766013324, 4242405.363080895 3255429.1200903924, 4242394.379951992 3254961.1612302656, 4241744.984360893 3254325.044358005, 4241213.826242433 3253912.518742187, 4240057.582169122 3253770.758945657, 4238710.515688171 3253944.442276429, 4238372.144374735 3253917.183102187, 4237859.754540168 3253875.9014907265, 4237709.424595546 3253688.6406935467, 4237384.897709622 3253127.319571722, 4237191.826221425 3252625.246231434, 4236513.400975456 3252833.2932955157, 4235682.166733284 3253126.3197961138, 4235044.574459776 3252948.429302869, 4234895.51614305 3253228.3228286854, 4234701.400450374 3253825.688643146, 4234645.117323367 3254161.7176183155, 4234113.250634692 3254965.3928499166, 4234389.413678252 3255522.847648619, 4234524.298018871 3255660.222883102, 4234633.782629507 3256836.7509375447, 4234755.570049622 3256895.22521387, 4234921.172406746 3256772.3441124083, 4235043.425088546 3256704.353268066, 4235190.005046708 3256696.7089689337, 4235290.582928819 3256656.16297033, 4235350.614533584 3256515.039162554, 4235405.190018925 3256441.5918361037, 4235554.107550866 3256404.942491046, 4235650.787954942 3256412.7362009846, 4235644.553031587 3256490.0806067535, 4235687.4377800105 3256561.653872074, 4235857.566370973 3256624.022567439, 4235907.465449478 3256608.5830703955, 4235930.69824411 3256561.801322819, 4235940.829431989 3256436.1164433155, 4235948.622602751 3256339.4359368854, 4235998.521427629 3256323.9964045407, 4236029.8634550255 3256297.330192716, 4236118.75096642 3256401.803638369, 4236163.194833051 3256454.0403942205, 4236226.974925669 3256507.835729119, 4236259.875514841 3256461.8331722748, 4236284.666518253 3256395.7152322466, 4236319.904768804 3256320.70855073, 4236420.481497624 3256280.160774582, 4236495.950109541 3256188.9349617446, 4236574.852833987 3256175.8326321323, 4236600.42256595 3256100.0467860303, 4236634.881040991 3256034.708230604, 4236689.454639109 3255961.260084363, 4236737.794677712 3255965.156001444, 4236782.23885986 3256017.3919660263, 4236843.681671501 3256100.1903880164, 4236917.130166822 3256154.7638955517, 4236940.362026314 3256107.9819908976, 4236944.257785612 3256059.6418100744, 4236950.490977718 3255982.297597624, 4237000.38935433 3255966.8572724666, 4237153.519461765 3255998.6593630244, 4237311.643252109 3256089.2484696633, 4237402.870173572 3256164.7157514826, 4237524.659687769 3256223.184068879, 4237636.781369492 3256280.873180582, 4237735.020334408 3256269.327423881, 4237789.592987066 3256195.877880821, 4237837.933387776 3256199.772980642, 4237882.378749272 3256252.008489957, 4237924.487165091 3256333.2483353755, 4238004.169001601 3256310.476020357, 4238056.404454164 3256266.0304492693, 4237984.512642613 3256192.121881355))
KRISTIANSTADS LÄN;GUSTAV ADOLF;1749;293;293;GUSTAV ADOLFS;9999.0;POLYGON ((4255405.77028109 3239914.3722607954, 4255631.907206918 3240127.0905974424, 4255743.602960248 3240311.1671424373, 4255847.898197404 3240708.6770399865, 4255900.403004548 3241024.2041876884, 4255960.309243689 3241126.297800864, 4256131.9142253585 3241412.4709005742, 4256354.179957636 3241673.524480499, 4256752.530949138 3241316.34582591, 4256882.489092246 3241151.6593379625, 4257085.123450509 3241051.1758852378, 4257365.087821766 3240956.8964920533, 4257533.293165548 3240921.7493207715, 4257754.067751907 3240958.9191335044, 4257899.062865333 3240970.5516493614, 4258082.362660115 3240868.514112289, 4258249.016684869 3240852.69770346, 4258281.89283836 3240806.692324467, 4258297.401327304 3240613.3659817167, 4258221.674949746 3240344.622154027, 4258187.301380621 3240166.752594171, 4258113.955412983 3239625.8070180947, 4258102.016257258 3239410.8258377886, 4258121.401585244 3239169.1733743744, 4258179.864906941 3238804.1895200224, 4257864.763463049 3238730.270822551, 4257613.0871092165 3238593.341685745, 4256600.488344164 3238482.9117191336, 4256280.789486837 3235071.9450176563, 4254566.5223927535 3236432.4375243145, 4253272.043890394 3237894.71538734, 4254226.8465627385 3238603.70196863, 4254254.292275502 3238625.361679263, 4254443.663491106 3238932.4104569675, 4254597.897432137 3239071.258961901, 4254824.028661148 3239283.9767675027, 4255008.03827481 3239415.48691586, 4255093.060518553 3239568.2363852467, 4255405.77028109 3239914.3722607954))
MALMÖHUS LÄN;GYLLE;1749;245;245;GYLLE;9999.0;POLYGON ((4194969.998653914 3169965.442946087, 4195079.592897358 3170052.056620164, 4195120.045443129 3170152.5060572205, 4195160.4980713455 3170252.9556412287, 4195233.821892814 3170307.48021286, 4195328.563543552 3170577.522366002, 4195447.813247255 3170664.9183390983, 4195667.825205511 3171188.043302043, 4195864.85719828 3171514.959441634, 4196902.179565813 3172745.635090117, 4197763.269969542 3172912.524507605, 4197836.369105251 3173209.9771172293, 4198045.091451972 3173032.5161425723, 4198043.757123949 3172808.8981844885, 4198116.809434271 3172746.7868800345, 4198146.505868839 3172379.915158255, 4198239.321187119 3171833.518137303, 4198382.750047263 3171262.0687120156, 4198528.519592572 3170661.660107285, 4198638.569588448 3170262.4317384833, 4198791.922262671 3169808.4050916773, 4198780.37095938 3169350.753456373, 4198280.47636888 3169524.0795980403, 4197550.167240026 3169542.7091788505, 4196813.00957499 3169045.7600876777, 4196672.10730498 3168985.7675232887, 4196529.642263613 3168945.082732639, 4195495.694781735 3169473.5591245396, 4195255.90863254 3169434.7084795926, 4195078.228452844 3169468.9071366666, 4194678.779444165 3169601.753631386, 4194844.496295842 3169955.279653732, 4194969.998653914 3169965.442946087))
MALMÖHUS LÄN;GÄRDSLÖV;1775;617;624;GÄRDSLÖVS;9999.0;POLYGON ((4211325.737462161 3181502.3360754466, 4211262.71958692 3181079.316354119, 4211284.456763267 3180449.324634952, 4211418.54176249 3179391.0575622926, 4213007.059809413 3178615.4942194303, 4213049.283597402 3178453.682366067, 4213011.140779127 3178324.256500223, 4212775.01859372 3178480.1283633453, 4212568.046999432 3178395.3811947135, 4213108.425414967 3177360.230142871, 4213052.530495548 3177209.9354456034, 4213216.739580742 3176620.635890378, 4213296.203786598 3176238.3070008755, 4213273.653347468 3175915.7729990385, 4212629.847539505 3175824.9131832467, 4212065.926434582 3175827.9659581934, 4211816.739778038 3175905.026514836, 4211380.680912731 3175889.244599906, 4211091.015320488 3175865.8478483255, 4210735.3216242 3175817.6793150194, 4210320.135969446 3175784.14006138, 4209989.995352646 3175660.2844831105, 4210001.88610239 3175272.5077589503, 4210128.080335727 3174913.4038678133, 4209732.402082113 3174638.4799863775, 4209599.082727107 3174724.892311658, 4209249.638058721 3174599.4764290717, 4209506.517521789 3174066.2893750053, 4209298.00343133 3174000.852080571, 4208987.183514101 3173878.5573629504, 4208823.045843867 3173865.2953646504, 4208576.2060561 3173913.377799058, 4208281.870611154 3173947.9031915073, 4208206.287269369 3174281.9328471785, 4208073.063643463 3174727.925311458, 4207912.432512029 3175152.268444096, 4207815.193319658 3175513.70797768, 4207824.650968145 3175757.432673958, 4207805.14230842 3175998.817164252, 4207627.5354159055 3176392.6391142793, 4207453.047888463 3176747.840416685, 4207451.287083661 3177010.0997223733, 4207412.464773871 3177249.9270738987, 4207309.464728508 3177562.3169121025, 4207326.724199386 3177709.4922630005, 4207567.914074957 3177971.9558090805, 4207469.105103393 3178352.719292377, 4207557.857186679 3178457.0812594476, 4207938.622919896 3178555.8899878087, 4208654.897770451 3179313.5409720456, 4208712.344029283 3179444.530094773, 4208731.947196353 3179562.7420442663, 4209320.666160329 3179493.6913034874, 4210063.499108503 3180885.232226355, 4210279.060634548 3181825.98000184, 4210616.157558379 3182465.5388881536, 4211320.883223657 3182765.4645660305, 4211506.88664106 3182508.346892538, 4211450.9937211955 3182358.0398559067, 4211422.214982293 3182112.729706621, 4211289.071692401 3181956.182519487, 4211298.433270849 3181840.3065655506, 4211432.251616485 3181627.5728096087, 4211325.737462161 3181502.3360754466))
MALMÖHUS LÄN;GÄSSIE;1795;193;195;GESSIE;9999.0;POLYGON ((4184052.213970874 3179731.0818232875, 4183972.9073365065 3179510.839332756, 4183753.1987687093 3179463.84969845, 4183733.6055098837 3179705.2191682435, 4183352.9007803174 3179606.2852900857, 4182760.5776247396 3179480.450502342, 4182344.641530288 3179456.398174776, 4181151.9228892466 3179184.6164257294, 4180804.112482967 3179039.7505883225, 4180486.0516099865 3178887.5816137837, 4179731.999750913 3180274.3584175603, 4180389.494682011 3180794.2527809194, 4180528.8267827393 3180873.5997752775, 4181220.3462399095 3180735.3960795244, 4181446.327432849 3180705.1565507697, 4181992.732664465 3180798.122138959, 4182400.0521689467 3180928.382933739, 4182544.8756034174 3180940.14244573, 4182550.074111755 3181115.4988235915, 4183351.434790731 3181180.563651037, 4183764.7821778567 3181116.934787623, 4184046.8783883927 3180994.0558730047, 4184359.7566556456 3180970.8605056903, 4184508.5000902386 3180934.3410882633, 4184624.92351795 3180457.862063094, 4184536.210820008 3180353.47618389, 4184414.615308673 3180295.013928645, 4184170.891746864 3180304.386346246, 4184118.698703952 3180348.742273141, 4184254.432222802 3179873.8356796675, 4184052.213970874 3179731.0818232875))
MALMÖHUS LÄN;GÅRDSTÅNGA;1749;310;319;GÅRDSTÅNGA;9999.0;POLYGON ((4200187.129204942 3210912.0496986257, 4200150.320438499 3211006.2998684803, 4200078.786566268 3211049.118908739, 4200005.422091865 3210994.5559923896, 4199912.737997775 3210938.427177205, 4199842.770026748 3210961.926144802, 4199786.64099941 3211054.61014474, 4199696.306022675 3210969.5013770736, 4199541.229028679 3211083.334880242, 4199652.985992598 3211743.8613906726, 4199923.465572887 3211765.7853823695, 4200158.701959921 3211862.639589401, 4199817.750500273 3212710.122242374, 4200314.078363121 3212944.824680124, 4200821.595799373 3212081.6640330334, 4200508.293904878 3211988.208321527, 4200526.300619874 3211766.02747654, 4200647.966520913 3211824.5051484914, 4200715.838346155 3211586.9190114043, 4201059.418404948 3211546.69814266, 4202930.80010171 3210891.2750657746, 4203945.1350648785 3211333.201596218, 4204804.377164529 3211529.1930268584, 4205023.158948403 3211469.121253265, 4205270.138792875 3211421.055510836, 4205940.87750905 3211543.4277640833, 4206139.831832745 3211608.152953484, 4206693.640652562 3211973.86524405, 4206755.788772268 3212046.9616196915, 4207081.01520301 3211392.6367704286, 4207114.58835607 3210617.4754831363, 4206781.957510796 3210522.4872397245, 4206571.504730031 3210359.600767986, 4206326.32284289 3210145.2860516626, 4205690.600704829 3210191.0536117726, 4204960.625613916 3210200.013095395, 4203816.089190626 3210525.430190987, 4203719.457425368 3210157.840944589, 4203805.514746729 3209095.256808352, 4203790.855002803 3208675.9759715, 4203818.234987019 3208337.8865372245, 4203576.7433399055 3208318.329217343, 4203530.0096814195 3208295.0983377667, 4202948.114173647 3208636.89031325, 4202683.902994126 3208537.704955473, 4202278.198075199 3208504.8410410336, 4201876.137926333 3208306.9790400914, 4201505.406966848 3208082.484896669, 4201231.273695918 3207865.8162982143, 4200924.270406187 3208054.8458702536, 4200792.683607307 3207878.8942659255, 4200334.5250872 3208133.4562582322, 4201021.209261728 3209618.3876199615, 4201049.93969275 3209863.795137071, 4201042.112301657 3209960.3929262105, 4201043.428729433 3210184.1338568213, 4200780.798121239 3210425.37985881, 4200705.351150503 3210516.4986659694, 4200633.552144165 3210442.6172203505, 4200480.82624747 3210527.473104479, 4200552.625118532 3210601.354792445, 4200542.448157063 3210726.9330309867, 4200507.988578247 3210792.203619508, 4200308.528039586 3210853.825267493, 4200187.129204942 3210912.0496986257))
