"BeginPlaguePeriod","EndPlaguePeriod","ParishName","VictimsNumber","SkåneRegion"
"Mar 1712","Aug 1712","Hofterup","?","Southwest"
"Apr 1712","Aug 1712","Barsebäck",170,"Southwest"
"May 1712","Aug 1712","Genarp",70,"Southwest"
"May 1712","Jun 1712","Grönby",3,"Southwest"
"Jun 1712","Aug 1712","Remmarlöv","?","Southwest"
"Jun 1712","Jun 1712","Slimminge","?","Southwest"
"Jun 1712","Oct 1712","Stora Harrie","?","Southwest"
"Jun 1712","Aug 1712","Veberöd","?","Southwest"
"Jun 1712","Jan 1713","Malmö S:t Petri",220,"Southwest"
"Jul 1712","Dec 1712","Malmö Caroli",90,"Southwest"
"Jun 1712","Dec 1712","Malmö Garnisonen",25,"Southwest"
"Jul 1712","Oct 1712","Hyllie",2,"Southwest"
"Jul 1712","Dec 1712","Lund","?","Southwest"
"Jul 1712","Jul 1712","Skurup","?","Southwest"
"Jul 1712","Sep 1712","Tottarp",40,"Southwest"
"Jul 1712","Oct 1712","V. Skrävlinge",60,"Southwest"
"Aug 1712","Nov 1712","Burlöv",70,"Southwest"
"Aug 1712","Aug 1712","Dalby","?","Southwest"
"Aug 1712","Oct 1712","Fosie",15,"Southwest"
"Aug 1712","Nov 1712","Husie",5,"Southwest"
"Aug 1712","Aug 1712","Håslöv",1,"Southwest"
"Aug 1712","Aug 1712","Lemmeströ",5,"Southwest"
"Aug 1712","Sep 1712","Lilla Beddinge",6,"Southwest"
"Aug 1712","Dec 1712","Löddeköpinge","?","Southwest"
"Aug 1712","Oct 1712","Maglarp",6,"Southwest"
"Aug 1712","Nov 1712","Skabersjö","?","Southwest"
"Aug 1712","Nov 1712","Svedala",15,"Southwest"
"Aug 1712","Mar 1713","Svenstorp",24,"Southwest"
"Aug 1712","Aug 1712","Ö. Vemmenhög",66,"Southwest"
"Sep 1712","Nov 1712","Räng",3,"Southwest"
"Sep 1712","Feb 1713","Saxtorp","?","Southwest"
"Sep 1712","Nov 1712","Skanör",16,"Southwest"
"Sep 1712","Nov 1712","S:t Peters Kloster",8,"Southwest"
"Sep 1712","Dec 1712","Södra Åkarp",4,"Southwest"
"Sep 1712","Nov 1712","Törringe","?","Southwest"
"Oct 1712","Dec 1712","Arrie",15,"Southwest"
"Oct 1712","Nov 1712","Bjällerup",13,"Southwest"
"Oct 1712","Nov 1712","Lockarp",3,"Southwest"
"Oct 1712","Dec 1712","Virke","?","Southwest"
"Nov 1712","Nov 1712","Görslöv",5,"Southwest"
"Nov 1712","Nov 1712","Stångby",1,"Southwest"
"Jan 1713","Jan 1713","St. Hammar",1,"Southwest"
"Jun 1711","Oct 1711","Övraby",60,"Southeast"
"Sep 1712","Sep 1712","Övraby","?","Southeast"
"Nov 1712","Nov 1712","Övraby","?","Southeast"
"Oct 1711","Nov 1711","S. Mellby",3,"Southeast"
"Apr 1712","May 1712","Bromma","?","Southeast"
"Jun 1712","Dec 1712","Ystad S:ta Maria",570,"Southeast"
"Jun 1712","Dec 1712","Ystad S:t Petri",170,"Southeast"
"Jun 1712","Mar 1713","Öja",40,"Southeast"
"Jul 1712","Undefined","Bjäresjö","?","Southeast"
"Jul 1712","Undefined","Hörup",60,"Southeast"
"Jul 1712","Jan 1713","Stora Köpinge",80,"Southeast"
"Jul 1712","Undefined","Valleberga","?","Southeast"
"Aug 1712","Undefined","Baldringe","?","Southeast"
"Aug 1712","Nov 1712","Balkåkra",45,"Southeast"
"Aug 1712","Aug 1712","Glemminge","?","Southeast"
"Sep 1713","Oct 1713","Glemminge","?","Southeast"
"Aug 1712","Undefined","Hammenhög","?","Southeast"
"Aug 1712","Undefined","Ingelstorp",1,"Southeast"
"Aug 1712","Dec 1712","Skårby",70,"Southeast"
"Aug 1712","Aug 1713","Snårestad",38,"Southeast"
"Aug 1712","Aug 1712","Villie","?","Southeast"
"Aug 1712","Aug 1712","Västra Nöbbelöv",2,"Southeast"
"Sep 1712","Oct 1712","Hedeskoga",5,"Southeast"
"Sep 1712","Dec 1712","Tryde",40,"Southeast"
"Sep 1712","Sep 1712","Östra Tommarp","?","Southeast"
"Oct 1712","Dec 1712","Sövestad","?","Southeast"
"Dec 1712","Sep 1713","Tranås",127,"Southeast"
"Jan 1713","Undefined","Eljaröd",3,"Southeast"
"Jan 1713","Oct 1713","Löderup",270,"Southeast"
"Mar 1713","Oct 1713","Borrby",45,"Southeast"
"Sep 1713","Oct 1713","Tosterup","?","Southeast"
